loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator,delinquency
134247911985,C,JPMORGAN CHASE BANK  NA,7.75,55000,180,01/2000,03/2000,64,,2.0,39.0,703.0,N,P,SF,1,P,OK,735,,FRM,,,N,More than 90 d
134251721720,R,JPMORGAN CHASE BANK  NA,8.0,53000,360,12/1999,02/2000,63,,2.0,16.0,755.0,N,C,SF,1,P,ID,836,,FRM,755.0,,N,More than 90 d
134260343382,R,OTHER,7.75,53000,360,01/2000,03/2000,39,,2.0,13.0,768.0,Y,P,SF,1,P,KS,670,,FRM,782.0,,N,More than 90 d
134263238490,R,OTHER,8.0,142000,360,01/2000,03/2000,90,,2.0,39.0,723.0,N,R,SF,1,P,AR,727,17.0,FRM,750.0,1.0,N,More than 90 d
134271517052,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.875,70000,360,12/1999,02/2000,70,,1.0,,,N,P,SF,1,P,TX,750,,FRM,,,N,More than 90 d
134286898477,R,RBC MORTGAGE COMPANY,8.25,127000,360,01/2000,03/2000,80,,1.0,63.0,713.0,N,P,SF,1,I,WA,986,,FRM,,,N,More than 90 d
134302302244,R,JPMORGAN CHASE BANK  NA,7.875,66000,360,12/1999,02/2000,80,,2.0,10.0,746.0,N,C,SF,1,P,MN,551,,FRM,757.0,,N,More than 90 d
134308245286,R,JPMORGAN CHASE BANK  NA,8.25,80000,360,12/1999,02/2000,50,,1.0,44.0,738.0,N,P,SF,1,P,OH,450,,FRM,,,N,More than 90 d
134318147148,B,JPMORGAN CHASE BANK  NA,7.75,170000,360,12/1999,02/2000,80,,2.0,31.0,735.0,N,P,SF,1,P,CA,904,,FRM,,,N,90 days
134320644486,R,JPMORGAN CHASE BANK  NA,7.75,120000,360,12/1999,02/2000,78,,2.0,26.0,786.0,N,P,SF,1,P,MA,27,,FRM,799.0,,N,More than 90 d
134324339390,R,REGIONS BANK,8.125,101000,360,01/2000,03/2000,79,,1.0,55.0,740.0,N,C,SF,1,P,AL,365,,FRM,,,N,More than 90 d
134324738763,C,OTHER,8.125,59000,360,10/1999,12/1999,80,,2.0,37.0,718.0,Y,P,SF,1,P,NY,132,,FRM,708.0,,N,More than 90 d
134337968549,C,JPMORGAN CHASE BANK  NA,8.0,170000,360,11/1999,01/2000,95,,2.0,34.0,678.0,N,P,SF,1,P,AZ,852,30.0,FRM,,1.0,N,More than 90 d
134351288000,C,BANK OF AMERICA  N.A.,8.5,49000,360,02/2000,04/2000,95,,1.0,37.0,709.0,N,P,CO,1,P,MI,481,30.0,FRM,,1.0,N,More than 90 d
134354676262,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.5,203000,180,02/2000,04/2000,80,,1.0,21.0,622.0,N,P,SF,1,P,TN,381,,FRM,,,N,More than 90 d
134358986473,C,FLAGSTAR BANK  FSB,8.25,78000,360,01/2000,03/2000,72,,1.0,62.0,745.0,N,P,SF,1,P,MI,490,,FRM,,,N,More than 90 d
134361500535,R,SUNTRUST MORTGAGE INC.,7.875,105000,360,01/2000,03/2000,60,,1.0,14.0,744.0,N,R,SF,1,P,FL,325,,FRM,,,N,More than 90 d
134371236341,R,WELLS FARGO BANK  N.A.,7.875,35000,180,12/1999,02/2000,68,,1.0,38.0,752.0,N,C,SF,1,P,SC,296,,FRM,,,N,More than 90 d
134372610112,C,BANK OF AMERICA  N.A.,8.5,100000,360,01/2000,03/2000,67,,2.0,40.0,684.0,N,P,CO,1,S,SC,295,,FRM,713.0,,N,More than 90 d
134376962153,R,PNC BANK  N.A.,7.625,61000,96,12/1999,02/2000,76,,1.0,26.0,686.0,N,C,SF,1,P,OH,454,,FRM,680.0,,N,More than 90 d
134377625172,R,OTHER,7.75,222000,360,01/2000,03/2000,80,,2.0,23.0,785.0,N,P,SF,1,P,TX,760,,FRM,791.0,,N,More than 90 d
134394257898,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.625,134000,360,07/1999,09/1999,95,,2.0,38.0,735.0,N,P,SF,1,P,WA,980,30.0,FRM,757.0,1.0,N,More than 90 d
134397095062,R,OTHER,8.0,130000,360,12/1999,02/2000,61,,2.0,32.0,701.0,N,P,SF,1,P,NE,680,,FRM,765.0,,N,90 days
134397970024,C,NETBANK FUNDING SERVICES,7.875,112000,360,12/1999,02/2000,79,,2.0,23.0,783.0,N,P,SF,1,P,MN,564,,FRM,795.0,,N,More than 90 d
134408202325,C,CITIMORTGAGE  INC.,8.0,189000,360,09/1999,11/1999,95,,2.0,34.0,700.0,N,P,SF,1,P,TX,787,30.0,FRM,712.0,1.0,Y,More than 90 d
134411328216,R,OTHER,8.25,100000,354,12/1999,02/2000,95,,1.0,29.0,763.0,N,P,SF,1,P,MI,494,30.0,FRM,,1.0,N,More than 90 d
134428162841,R,RBC MORTGAGE COMPANY,8.5,156000,360,01/2000,03/2000,95,,2.0,41.0,713.0,Y,P,SF,1,P,OR,973,25.0,FRM,669.0,1.0,N,More than 90 d
134434353191,R,OTHER,8.25,237000,360,01/2000,03/2000,80,,2.0,50.0,727.0,N,P,PU,1,P,AK,995,,FRM,693.0,,N,More than 90 d
134435307078,B,BANK OF AMERICA  N.A.,8.375,89000,360,12/1999,02/2000,75,,2.0,35.0,654.0,N,C,PU,1,P,KS,660,,FRM,645.0,,N,More than 90 d
134439610110,R,WELLS FARGO BANK  N.A.,7.5,100000,180,12/1999,02/2000,70,,1.0,38.0,781.0,N,P,CO,1,S,FL,334,,FRM,,,N,More than 90 d
134446534970,B,CITIMORTGAGE  INC.,7.75,85000,360,11/1999,01/2000,97,,1.0,40.0,673.0,Y,P,SF,1,P,FL,334,30.0,FRM,,1.0,N,not delinquent
134472848416,R,WELLS FARGO BANK  N.A.,8.5,210000,355,01/2000,04/2000,88,,2.0,37.0,775.0,Y,P,SF,1,P,AZ,857,25.0,FRM,773.0,1.0,N,More than 90 d
134492633324,C,GMAC MORTGAGE  LLC,7.625,171000,360,11/1999,01/2000,90,,2.0,41.0,611.0,N,P,SF,1,P,CA,902,25.0,FRM,664.0,1.0,N,90 days
134494356385,C,JPMORGAN CHASE BANK  NA,8.125,253000,360,01/2000,03/2000,51,,2.0,46.0,787.0,N,C,SF,1,P,CO,812,,FRM,795.0,,N,More than 90 d
134495340193,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.25,40000,120,01/2000,03/2000,27,,2.0,19.0,785.0,N,P,SF,1,P,VA,232,,FRM,781.0,,N,More than 90 d
134496074566,R,BANK OF AMERICA  N.A.,9.125,116000,360,01/2000,03/2000,95,,1.0,37.0,737.0,Y,P,SF,1,P,TX,784,25.0,FRM,,2.0,N,More than 90 d
134496727283,R,JPMORGAN CHASE BANK  NA,7.625,80000,360,12/1999,02/2000,80,,2.0,22.0,643.0,N,P,SF,1,P,AZ,852,,FRM,767.0,,N,More than 90 d
134502876372,R,OTHER,7.75,77000,360,12/1999,02/2000,59,,1.0,34.0,,N,R,SF,1,P,LA,713,,FRM,,,N,More than 90 d
134503783776,R,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,7.75,109000,180,01/2000,03/2000,75,,2.0,37.0,737.0,N,R,SF,1,P,VA,229,,FRM,,,N,More than 90 d
134504191884,B,JPMORGAN CHASE BANK  NA,8.625,70000,360,12/1999,02/2000,97,,2.0,31.0,693.0,N,P,PU,1,P,AZ,864,18.0,FRM,651.0,1.0,N,90 days
134506743099,R,OTHER,7.5,138000,360,12/1999,02/2000,85,,2.0,25.0,712.0,N,P,SF,1,P,GA,300,12.0,FRM,721.0,1.0,Y,More than 90 d
134507340643,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,7.875,83000,360,11/1999,01/2000,85,,2.0,17.0,767.0,N,C,SF,1,P,OH,446,12.0,FRM,,1.0,N,More than 90 d
134513704763,B,SUNTRUST MORTGAGE INC.,8.625,28000,240,12/1999,01/2000,80,,2.0,25.0,763.0,N,P,CO,1,I,MO,630,,FRM,764.0,,N,More than 90 d
134520929250,R,OTHER,7.75,105000,360,12/1999,02/2000,68,,2.0,22.0,,N,P,SF,1,P,NV,891,,FRM,816.0,,N,More than 90 d
134522777841,C,BANK OF AMERICA  N.A.,8.5,235000,360,02/2000,04/2000,73,,2.0,26.0,759.0,N,P,SF,1,P,NY,109,,FRM,788.0,,N,More than 90 d
134530325011,R,OTHER,7.75,76000,180,01/2000,03/2000,80,,2.0,31.0,715.0,N,C,SF,1,P,WI,543,,FRM,715.0,,N,More than 90 d
134546204772,R,OTHER,7.75,44000,180,03/2000,04/2000,43,,1.0,52.0,632.0,N,C,SF,1,P,WV,254,,FRM,,,N,More than 90 d
134555310799,R,WELLS FARGO BANK  N.A.,8.5,123000,360,11/1999,01/2000,87,,1.0,32.0,767.0,N,P,CO,1,I,AZ,852,25.0,FRM,,1.0,N,90 days
134560720578,C,BANK OF AMERICA  N.A.,8.75,55000,360,12/1999,02/2000,64,,2.0,17.0,619.0,N,C,SF,1,I,CA,935,,FRM,668.0,,N,More than 90 d
134570839557,R,JPMORGAN CHASE BANK  NA,7.5,87000,360,12/1999,02/2000,54,,1.0,50.0,683.0,N,R,SF,1,P,FL,330,,FRM,,,N,60 days
134576515624,C,FLAGSTAR BANK  FSB,8.625,163000,360,02/2000,03/2000,63,,3.0,,707.0,N,R,SF,2,I,CO,813,,FRM,690.0,,N,More than 90 d
134584121228,R,OTHER,8.125,53000,180,02/2000,04/2000,80,,2.0,48.0,646.0,N,C,SF,1,P,OK,741,,FRM,681.0,,N,More than 90 d
134588594675,R,OTHER,8.0,70000,180,02/2000,04/2000,61,,1.0,38.0,760.0,N,R,SF,1,P,OR,974,,FRM,,,N,More than 90 d
134600103388,R,AMTRUST BANK,7.5,72000,240,10/1999,12/1999,80,,2.0,24.0,787.0,N,P,SF,2,I,OH,441,,FRM,788.0,,N,More than 90 d
134606640470,B,JPMORGAN CHASE BANK  NA,9.5,142000,360,02/2000,04/2000,80,,2.0,22.0,705.0,N,R,SF,1,P,CA,920,,FRM,652.0,,N,More than 90 d
134608471421,C,BANK OF AMERICA  N.A.,8.125,54000,360,12/1999,02/2000,95,,1.0,40.0,626.0,N,P,CO,1,P,NV,895,30.0,FRM,,1.0,N,More than 90 d
134613985507,R,JPMORGAN CHASE BANK  NA,8.625,58000,360,12/1999,02/2000,86,,2.0,9.0,,N,P,CO,1,S,FL,321,25.0,FRM,780.0,1.0,N,More than 90 d
134623029234,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.5,35000,360,12/1999,02/2000,95,,1.0,22.0,699.0,Y,P,SF,1,P,TX,799,30.0,FRM,,1.0,N,not delinquent
134625000722,C,SUNTRUST MORTGAGE INC.,7.625,107000,360,06/1999,08/1999,75,,2.0,25.0,769.0,Y,P,SF,1,P,CT,67,,FRM,748.0,,N,More than 90 d
134635298192,B,REGIONS BANK,8.375,92000,360,02/2000,04/2000,70,,2.0,22.0,623.0,N,R,SF,1,P,FL,337,,FRM,601.0,,N,60 days
134637430129,C,CITIMORTGAGE  INC.,8.0,185000,360,11/1999,01/2000,75,,2.0,32.0,750.0,Y,P,SF,2,P,MA,19,,FRM,,,N,More than 90 d
134643062526,R,OTHER,7.75,181000,360,12/1999,02/2000,80,,2.0,25.0,796.0,N,P,SF,1,P,NV,891,,FRM,803.0,,N,More than 90 d
134648552404,C,FLAGSTAR BANK  FSB,8.875,74000,360,01/2000,03/2000,67,,2.0,49.0,720.0,N,C,MH,1,I,OR,976,,FRM,,,N,More than 90 d
134693439813,C,NETBANK FUNDING SERVICES,8.0,102000,360,02/2000,04/2000,95,,2.0,34.0,787.0,N,P,SF,1,P,VA,201,30.0,FRM,720.0,1.0,N,More than 90 d
134697403466,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.0,185000,180,12/1999,02/2000,80,,2.0,,598.0,N,C,SF,1,P,CA,956,,FRM,559.0,,N,60 days
134698722791,R,CITIMORTGAGE  INC.,7.875,113000,360,11/1999,01/2000,85,,2.0,35.0,681.0,N,P,SF,1,P,CA,925,12.0,FRM,683.0,1.0,N,More than 90 d
134703600771,B,OTHER,8.25,76000,360,12/1999,02/2000,48,,1.0,45.0,699.0,N,R,PU,1,P,CA,928,,FRM,,,N,More than 90 d
134704244114,B,JPMORGAN CHASE BANK  NA,8.25,146000,360,12/1999,02/2000,97,100.0,2.0,44.0,661.0,Y,P,SF,1,P,CA,920,50.0,FRM,,1.0,N,More than 90 d
134707254095,R,FLAGSTAR BANK  FSB,8.0,52000,240,02/2000,04/2000,80,,1.0,36.0,666.0,N,C,SF,1,P,OH,448,,FRM,,,N,More than 90 d
134710054115,R,GMAC MORTGAGE  LLC,7.875,111000,240,12/1999,02/2000,61,,1.0,,768.0,N,C,SF,1,P,CA,917,,FRM,,,N,More than 90 d
134711141698,R,OTHER,6.15,63000,360,06/1999,08/1999,90,,2.0,18.0,619.0,Y,P,SF,1,P,NE,685,25.0,FRM,695.0,1.0,N,More than 90 d
