loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator
111664272422,R,JPMORGAN CHASE BANK  NA,8,124000,360,12/1999,02/2000,95,,2,59,792,N,P,SF,1,P,FL,330,30,FRM,,1,N
111669599523,B,JPMORGAN CHASE BANK  NA,7.875,88000,360,12/1999,02/2000,26,,1,18,769,N,R,SF,1,P,CA,960,,FRM,,,N
111673972335,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,8.375,67000,360,12/1999,02/2000,97,,2,29,732,N,P,SF,1,P,MI,480,18,FRM,725,1,N
111675975063,R,SUNTRUST MORTGAGE INC.,7.875,87000,360,09/1999,11/1999,80,,2,42,783,N,P,SF,1,P,FL,344,,FRM,,,N
111677576388,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8,119000,360,12/1999,02/2000,80,,2,64,718,N,R,SF,1,P,WV,254,,FRM,643,,N
111679097999,C,OTHER,7.75,52000,180,11/1999,01/2000,75,,,,,U,R,SF,1,P,GA,313,,FRM,,,N
111681324255,C,BANK OF AMERICA  N.A.,8.125,105000,360,12/1999,02/2000,95,,1,53,754,N,P,SF,1,P,CA,925,25,FRM,,1,N
111682035322,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.875,142000,360,10/1999,11/1999,80,,2,30,777,N,P,SF,1,P,OR,970,,FRM,670,,N
111685815079,B,CITIMORTGAGE  INC.,6.625,70000,360,06/1999,08/1999,80,,1,48,716,Y,P,SF,1,P,TX,775,,FRM,,,N
111688145276,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,8.125,130000,180,01/2000,03/2000,51,,2,57,768,N,P,SF,1,P,WI,535,,FRM,751,,N
111700382438,C,SUNTRUST MORTGAGE INC.,7.875,102000,360,11/1999,01/2000,80,,2,41,764,N,C,SF,1,P,PA,195,,FRM,759,,N
111700816388,R,OTHER,8,100000,360,02/2000,04/2000,38,,4,35,769,N,C,PU,2,P,HI,967,,FRM,760,,N
111707550438,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.375,191000,360,11/1999,01/2000,71,,2,50,794,N,P,SF,1,P,CA,956,,FRM,795,,N
111731946688,C,AMTRUST BANK,8.125,206000,360,10/1999,12/1999,80,,2,24,755,N,P,SF,1,P,IL,604,,FRM,749,,N
111750336688,B,OTHER,7.875,131000,360,01/2000,03/2000,90,,2,30,747,N,P,SF,1,P,CA,921,25,FRM,765,1,N
111763929197,C,AMTRUST BANK,8,120000,180,01/2000,03/2000,80,,1,39,620,N,P,CO,1,P,MI,481,,FRM,,,N
111770285276,C,AMTRUST BANK,8.375,151000,360,01/2000,03/2000,95,,2,36,737,N,P,SF,1,P,CO,802,30,FRM,767,1,N
111777999082,R,WELLS FARGO BANK  N.A.,8.25,82000,360,12/1999,02/2000,95,,2,38,664,Y,P,CO,1,P,IL,606,30,FRM,,1,N
111786281478,C,BANK OF AMERICA  N.A.,7.875,201000,360,02/2000,04/2000,95,,2,55,699,N,P,CO,1,P,CA,926,30,FRM,682,1,N
111790377652,B,OTHER,7.875,150000,360,11/1999,01/2000,73,,1,48,701,N,P,SF,1,P,NY,106,,FRM,,,N
111801499808,C,JPMORGAN CHASE BANK  NA,7.625,144000,360,01/2000,03/2000,59,,2,16,795,N,P,PU,1,P,SC,294,,FRM,797,,N
111803249229,R,OTHER,7.875,85000,180,03/2000,04/2000,42,,2,12,600,N,C,SF,1,P,PR,006,,FRM,653,,N
111812077549,B,BANK OF AMERICA  N.A.,8.75,88000,360,02/2000,04/2000,89,,2,15,662,N,R,SF,1,P,KY,402,25,FRM,639,1,N
111819775319,C,JPMORGAN CHASE BANK  NA,7.25,200000,180,01/2000,03/2000,58,,2,39,786,N,P,SF,1,P,CA,920,,FRM,789,,N
111835254022,R,JPMORGAN CHASE BANK  NA,8.25,208000,360,11/1999,01/2000,80,,1,33,641,N,R,SF,4,P,NY,112,,FRM,,,N
111843003100,R,OTHER,8,170000,360,10/1999,12/1999,77,,2,21,782,N,R,SF,1,P,OK,741,,FRM,756,,N
111845297843,B,OTHER,8.5,30000,360,12/1999,02/2000,28,,1,17,791,N,C,SF,1,I,OH,441,,FRM,,,N
111847830413,B,OTHER,8.5,91000,360,12/1999,02/2000,77,,2,41,540,N,R,SF,1,P,MI,497,,FRM,559,,N
111882428142,B,SUNTRUST MORTGAGE INC.,7.5,208000,180,11/1999,01/2000,80,,2,28,698,N,C,SF,1,P,PA,160,,FRM,737,,N
111885118172,C,CITIMORTGAGE  INC.,8,132000,360,02/2000,04/2000,80,,2,50,732,N,P,SF,1,P,CO,807,,FRM,562,,N
111891052329,R,OTHER,8,200000,180,01/2000,03/2000,49,,2,33,727,N,P,SF,2,P,NY,113,,FRM,,,N
111915249133,B,JPMORGAN CHASE BANK  NA,8.125,84000,360,12/1999,02/2000,95,,2,30,724,Y,P,SF,1,P,ME,040,30,FRM,745,1,N
111927735110,C,BANK OF AMERICA  N.A.,7.625,196000,360,11/1999,01/2000,80,,1,45,779,Y,P,CO,1,P,CA,900,,FRM,,,N
111935037315,R,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,7.75,41000,360,01/2000,03/2000,90,,1,23,794,N,P,CP,1,P,NY,100,25,FRM,,1,N
111941771825,R,OTHER,8.375,84000,360,02/2000,04/2000,68,,1,37,682,N,P,SF,1,P,WI,530,,FRM,,,N
111947078046,B,JPMORGAN CHASE BANK  NA,8.375,200000,360,01/2000,03/2000,75,,2,35,790,N,R,SF,1,P,MA,019,,FRM,797,,N
111951734917,R,BANK OF AMERICA  N.A.,8.375,170000,360,02/2000,04/2000,95,,2,46,709,N,P,SF,1,P,PA,193,30,FRM,709,1,N
111954106183,C,JPMORGAN CHASE BANK  NA,7.875,120000,360,12/1999,02/2000,80,,2,19,713,Y,P,SF,1,P,LA,701,,FRM,670,,N
111955640109,R,OTHER,8.125,30000,240,02/2000,03/2000,80,,1,31,717,N,P,MH,1,P,MI,484,,FRM,,,N
111961219577,R,OTHER,8.5,55000,360,12/1999,02/2000,95,,1,17,649,N,P,SF,1,P,OH,446,30,FRM,,1,N
111990343944,R,BANK OF AMERICA  N.A.,8.75,154000,360,12/1999,02/2000,95,,2,30,768,Y,P,SF,1,P,MD,210,25,FRM,730,2,N
111994004284,R,GMAC MORTGAGE  LLC,7.875,185000,360,12/1999,02/2000,90,,1,49,673,N,P,SF,1,P,PA,193,17,FRM,,1,N
112000308860,R,OTHER,8.5,50000,360,11/1999,01/2000,37,,2,19,741,N,P,SF,1,P,OH,440,,FRM,762,,N
112003235284,C,BANK OF AMERICA  N.A.,6.74,86000,360,12/1999,02/2000,95,,2,37,712,Y,P,SF,1,P,IL,610,30,FRM,758,1,N
112003790876,C,JPMORGAN CHASE BANK  NA,8.875,35000,360,12/1999,02/2000,70,,2,40,708,N,P,SF,4,I,TX,777,,FRM,,,N
112025041898,C,BANK OF AMERICA  N.A.,8,69000,360,12/1999,03/2000,75,,2,48,721,N,C,SF,1,P,NM,874,,FRM,773,,N
112032485549,R,OTHER,8.125,220000,360,11/1999,01/2000,95,,2,39,620,N,P,PU,1,P,GA,300,30,FRM,701,1,N
112048740170,C,OTHER,7.75,69000,360,12/1999,02/2000,80,,2,20,574,Y,P,SF,1,P,IA,515,,FRM,722,,N
112053687225,B,FLAGSTAR BANK  FSB,8.5,62000,360,02/2000,04/2000,84,,1,40,768,N,P,SF,1,P,OH,441,12,FRM,,1,N
